"AC" "TC" "DESCR" "OS" "GN" "PE" "SV"
"53" "A0SN38" "1.C.52.1.26" "Amolopin-1a antimicrobial peptide" "Amolops loloensis" "" "2" "1"
"54" "A0ST42" "2.A.1.2.79" "MFS transporter" "Cercospora nicotianae" "CTB4" "4" "1"
"55" "A0XZ57" "2.A.66.2.13" "Putative uncharacterized protein - Alteromonadales bacterium TW-7." "" "" "" ""
"56" "A0YL48" "2.A.66.5.3" "Putative uncharacterized protein - Lyngbya sp. PCC 8106." "" "" "" ""
"57" "A0YQV7" "9.B.142.4.4" "Uncharacterized protein" "Lyngbya sp. (strain PCC 8106)" "L8106_28746" "4" "1"
"58" "A0ZK04" "9.B.45.1.3" "Serine/Threonine protein kinase" "Nodularia spumigena CCY9414" "N9414_10892" "4" "1"
"59" "A0ZUB1" "3.A.1.122.12" "Putative ABC transporter protein" "Pseudomonas sp. MIS38" "" "3" "1"
"60" "A0ZXK6" "2.A.1.1.43" "Monosaccharide transporter - Geosiphon pyriformis." "" "" "" ""
"61" "A1A5B4" "1.A.17.1.5" "Anoctamin-9" "Homo sapiens" "ANO9" "2" "2"
"62" "A1A5C7" "2.A.1.19.28" "Solute carrier family 22 member 23" "Homo sapiens" "SLC22A23" "2" "2"
"63" "A1A7W8" "1.B.12.4.7" "Vacuolating autotransporter" "Escherichia coli O1:K1 / APEC" "vat" "4" "1"
"64" "A1ACJ3" "1.A.13.5.1" "Uncharacterized protein" "Escherichia coli O1:K1 / APEC" "APECO1_1077" "4" "1"
"65" "A1AK41" "2.A.33.1.4" "Na(+)/H(+) antiporter nhaA 1" "Pelobacter propionicus (strain DSM 2379)" "nhaA1" "3" "1"
"66" "A1ALD2" "1.B.61.1.2" "LamB porin family protein, putative" "Pelobacter propionicus (strain DSM 2379)" "" "4" "1"
"67" "A1BA99" "2.A.93.1.3" "Bile acid:sodium symporter" "Paracoccus denitrificans (strain Pd 1222)" "Pden_4379" "4" "1"
"68" "A1BH58" "1.B.48.1.2" "Curli production assembly/transport component CsgG" "Chlorobium phaeobacteroides (strain DSM 266)" "Cpha266_1717" "4" "1"
"69" "A1BIL6" "1.A.77.1.10" "Putative uncharacterized protein" "Chlorobium phaeobacteroides (strain DSM 266)" "Cpha266_2249" "4" "1"
"70" "A1C4R1" "9.A.27.1.4" "Putative uncharacterized protein" "Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1)" "ACLA_000900" "4" "1"
"71" "A1CC48" "9.B.178.1.2" "N2,N2-dimethylguanosine tRNA methyltransferase, putative" "Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1)" "ACLA_060600" "4" "1"
"72" "A1E5T9" "9.A.25.1.1" "SprE" "Flavobacterium johnsoniae (strain ATCC 17061 / DSM 2064 / UW101)" "sprE" "4" "1"
"73" "A1EAB5" "1.E.10.1.3" "Putative holin" "Streptococcus phage SMP" "" "4" "1"
"74" "A1EBT2" "5.B.5.2.1" "PioA - Rhodopseudomonas palustris TIE-1." "" "" "" ""
"75" "A1EBT3" "5.B.5.2.1" "PioB (Fragment) - Rhodopseudomonas palustris TIE-1." "" "" "" ""
"76" "A1EBT4" "5.B.5.2.1" "PioC - Rhodopseudomonas palustris TIE-1." "" "" "" ""
"77" "A1EMW4" "3.A.11.2.3" "Putative uncharacterized protein - Vibrio cholerae V52." "" "" "" ""
"78" "A1F9V7" "3.A.23.1.1" "VgrG protein" "Vibrio cholerae 2740-80" "vgrG-1" "4" "1"
"79" "A1HRI2" "1.B.23.1.4" "S-layer domain protein domain protein" "Thermosinus carboxydivorans Nor1" "TcarDRAFT_1331" "4" "1"
"80" "A1IQK4" "3.A.1.15.10" "Putative ABC-transporter membrane protein - Neisseria meningitidis serogroup A." "" "" "" ""
"81" "A1IQK5" "3.A.1.15.10" "Putative ABC-transporter ATP-binding protein - Neisseria meningitidis serogroup A." "" "" "" ""
"82" "A1IRP7" "1.B.65.1.1" "Outer membrane protein" "Neisseria meningitidis serogroup A / serotype 4A (strain Z2491)" "NMA1251" "4" "1"
"83" "A1JLH0" "3.A.1.10.5" "Iron(III)-transport ATP-binding protein" "Yersinia enterocolitica serotype O:8 / biotype 1B (strain 8081)" "yfuC" "3" "1"
"84" "A1JRS3" "2.A.53.3.9" "Putative uncharacterized protein" "Yersinia enterocolitica serotype O:8 / biotype 1B (strain 8081)" "YE2426" "4" "1"
"85" "A1JU92" "3.A.6.1.1" "Yop proteins translocation protein A - Yersinia enterocolitica serotype O:8 / biotype 1B (strain 8081)." "" "" "" ""
"86" "A1JU93" "3.A.6.1.1" "Chaperone protein yscB - Yersinia enterocolitica serotype O:8 / biotype 1B (strain 8081)." "" "" "" ""
"87" "A1JUA4" "3.A.6.1.1" "Yop proteins translocation protein M - Yersinia enterocolitica serotype O:8 / biotype 1B (strain 8081)." "" "" "" ""
"88" "A1K643" "9.B.20.3.3" "Conserved hypothetical membrane protein" "Azoarcus sp. (strain BH72)" "azo1681" "4" "1"
"89" "A1KWE6" "2.A.39.1.3" "Putative permease" "Neisseria meningitidis serogroup C / serotype 2a (strain ATCC 700532 / FAM18)" "NMC2048" "4" "1"
"90" "A1KYB4" "1.A.9.3.2" "Histamine-gated chloride channel subunit" "Drosophila melanogaster" "ort" "2" "1"
"91" "A1QYM3" "9.A.10.3.1" "Uncharacterized protein" "Borrelia turicatae (strain 91E135)" "BT0073" "4" "1"
"92" "A1R564" "2.A.1.67.2" "Putative major facilitator superfamily (MFS) transporter" "Arthrobacter aurescens (strain TC1)" "AAur_1610" "4" "1"
"93" "A1R938" "9.B.110.3.1" "Putative ABC transporter, permease protein" "Arthrobacter aurescens (strain TC1)" "AAur_3049" "4" "1"
"94" "A1RW34" "2.A.1.66.1" "Major facilitator superfamily MFS_1" "Thermofilum pendens (strain Hrk 5)" "Tpen_0004" "4" "1"
"95" "A1RWM1" "1.A.16.2.5" "Formate/nitrite transporter" "Thermofilum pendens (strain Hrk 5)" "Tpen_0191" "4" "1"
"96" "A1S297" "2.A.1.7.11" "Glucose/galactose transporter" "Shewanella amazonensis (strain ATCC BAA-1098 / SB2B)" "Sama_0292" "4" "1"
"97" "A1S2A8" "2.A.21.3.8" "Na+/solute symporter" "Shewanella amazonensis (strain ATCC BAA-1098 / SB2B)" "Sama_0303" "3" "1"
"98" "A1S4V0" "2.A.1.7.9" "Multiple antibiotic resistance (MarC)-related protein" "Shewanella amazonensis (strain ATCC BAA-1098 / SB2B)" "Sama_1199" "3" "1"
"99" "A1S5F2" "2.A.2.3.6" "Sugar (Glycoside-Pentoside-Hexuronide) transporter" "Shewanella amazonensis (strain ATCC BAA-1098 / SB2B)" "Sama_1401" "4" "1"
"100" "A1S5F4" "2.A.1.7.10" "Glucose/galactose transporter" "Shewanella amazonensis (strain ATCC BAA-1098 / SB2B)" "Sama_1403" "4" "1"
"101" "A1SUT6" "1.B.14.16.3" "Uncharacterized protein" "Psychromonas ingrahamii (strain 37)" "Ping_1434" "4" "1"
"102" "A1T0X2" "1.B.15.1.5" "Raffinose porin" "Psychromonas ingrahamii (strain 37)" "Ping_3712" "4" "1"
"103" "A1T964" "9.A.24.3.1" "Putative uncharacterized protein" "Mycobacterium vanbaalenii (strain DSM 7251 / PYR-1)" "Mvan_2908" "4" "1"
"104" "A1TMX7" "1.E.25.1.4" "Putative uncharacterized protein" "Acidovorax citrulli (strain AAC00-1)" "Aave_1728" "4" "1"
"105" "A1U2M7" "9.B.2.1.12" "Abortive infection protein" "Marinobacter aquaeolei (strain ATCC 700491 / DSM 11845 / VT8)" "Maqu_2167" "4" "1"
"106" "A1U6U5" "1.B.3.2.3" "Uncharacterized protein" "Marinobacter aquaeolei (strain ATCC 700491 / DSM 11845 / VT8)" "Maqu_3645" "4" "1"
"107" "A1VEP3" "1.A.28.1.4" "Urea transporter" "Desulfovibrio vulgaris subsp. vulgaris (strain DP4)" "Dvul_1892" "4" "1"
"108" "A1VF64" "1.A.77.2.3" "ATP synthase protein I" "Desulfovibrio vulgaris subsp. vulgaris (strain DP4)" "Dvul_2064" "4" "1"
"109" "A1VGW9" "2.A.117.1.5" "Transmembrane pair domain protein" "Desulfovibrio vulgaris subsp. vulgaris (strain DP4)" "Dvul_2673" "4" "1"
"110" "A1VIS2" "1.B.15.1.3" "Raffinose porin" "Polaromonas naphthalenivorans (strain CJ2)" "" "4" "1"
"111" "A1VPH0" "1.E.50.1.2" "Uncharacterized protein" "Polaromonas naphthalenivorans (strain CJ2)" "Pnap_2240" "4" "1"
"112" "A1VZQ3" "3.A.1.3.16" "Amino acid ABC transporter, permease protein PEB1 - Campylobacter jejuni subsp. jejuni serotype O:23/36 (strain 81-176)." "" "" "" ""
"113" "A1WCK7" "9.B.44.2.2" "Hypothetical protein - Acidovorax sp. (strain JS42)." "" "" "" ""
"114" "A1WXX5" "9.A.55.1.13" "Uncharacterized protein" "Halorhodospira halophila (strain DSM 244 / SL1)" "Hhal_1773" "4" "1"
"115" "A1XGH3" "2.A.85.2.4" "ALMT1-like protein - Zea mays (Maize)." "" "" "" ""
"116" "A1Z264" "2.A.1.1.69" "Sugar/H+ symporter" "Galdieria sulphuraria" "SPT1" "2" "1"
"117" "A1Z8N1" "2.A.1.1.99" "Facilitated trehalose transporter Tret1-1" "Drosophila melanogaster" "Tret1-1" "1" "1"
"118" "A1ZI80" "9.B.67.6.2" "Membrane protein, putative" "Microscilla marina ATCC 23134" "M23134_05621" "4" "1"
"119" "A2ARV4" "9.B.87.1.1" "Low-density lipoprotein receptor-related protein 2 - Mus musculus (Mouse)." "" "" "" ""
"120" "A2BS89" "2.A.123.2.2" "Uncharacterized conserved protein" "Prochlorococcus marinus (strain AS9601)" "A9601_13661" "4" "1"
"121" "A2BTW4" "9.B.150.1.3" "Uncharacterized conserved protein" "Prochlorococcus marinus (strain MIT 9515)" "P9515_00071" "4" "1"
"122" "A2CB33" "1.B.19.1.4" "Putative uncharacterized protein" "Prochlorococcus marinus (strain MIT 9303)" "P9303_19511" "4" "1"
"123" "A2CDJ1" "9.B.175.1.2" "Uncharacterized protein" "Prochlorococcus marinus (strain MIT 9303)" "P9303_28211" "4" "1"
"124" "A2EH91" "9.B.26.2.3" "Putative uncharacterized protein" "Trichomonas vaginalis" "TVAG_332950" "4" "1"
"125" "A2ETW9" "1.C.105.2.2" "Viral A-type inclusion protein, putative" "Trichomonas vaginalis" "TVAG_192230" "4" "1"
"126" "A2G2I4" "2.A.57.5.4" "CLN3 protein" "Trichomonas vaginalis" "TVAG_244010" "4" "1"
"127" "A2I2U7" "5.B.1.4.2" "Putative ferric chelate reductase - Chlamydomonas reinhardtii." "" "" "" ""
"128" "A2ICZ6" "1.A.89.1.1" "ORF4a protein" "Human coronavirus 229E" "ORF4a" "4" "1"
"129" "A2P528" "2.A.7.3.9" "Putative uncharacterized protein" "Vibrio cholerae 1587" "A55_A0083" "4" "1"
"130" "A2PYQ6" "1.C.57.1.5" "TpeL - Clostridium perfringens." "" "" "" ""
"131" "A2QHQ3" "3.A.19.1.2" "Protein get1" "Aspergillus niger (strain CBS 513.88 / FGSC A1513)" "get1" "3" "1"
"132" "A2QTF4" "2.A.1.2.48" "Putative uncharacterized protein An09g01910" "Aspergillus niger (strain CBS 513.88 / FGSC A1513)" "An09g01910" "4" "1"
"133" "A2QW01" "1.A.88.1.4" "Putative uncharacterized protein An11g03330" "Aspergillus niger (strain CBS 513.88 / FGSC A1513)" "An11g03330" "4" "1"
"134" "A2QYD7" "2.A.16.4.1" "Remark: Ssu1p mediates efflux of the free form of sulphite - Aspergillus niger." "" "" "" ""
"135" "A2R3H2" "2.A.1.1.119" "Putative uncharacterized protein An14g04280" "Aspergillus niger (strain CBS 513.88 / FGSC A1513)" "An14g04280" "3" "1"
"136" "A2R8R0" "1.B.69.1.4" "Similarity to hypothetical protein PMP24 - Mus musculus" "Aspergillus niger (strain CBS 513.88 / FGSC A1513)" "An16g08040" "4" "1"
"137" "A2RI01" "3.A.1.25.4" "Energy-coupling factor transporter ATP-binding protein EcfA 1" "Lactococcus lactis subsp. cremoris (strain MG1363)" "ecfA1" "1" "1"
"138" "A2RI03" "3.A.1.25.4" "Energy-coupling factor transporter transmembrane protein EcfT" "Lactococcus lactis subsp. cremoris (strain MG1363)" "ecfT" "1" "1"
"139" "A2RI47" "2.A.88.3.2" "Putative membrane protein" "Lactococcus lactis subsp. cremoris (strain MG1363)" "llmg_0334" "4" "1"
"140" "A2RJJ3" "1.E.24.1.4" "Putative holin - Lactococcus lactis subsp. cremoris (strain MG1363)." "" "" "" ""
"141" "A2RJJ6" "1.E.44.1.2" "Putative uncharacterized protein ps358" "Lactococcus lactis subsp. cremoris (strain MG1363)" "ps358" "4" "1"
"142" "A2RJJ9" "2.A.1.3.37" "Putative uncharacterized protein" "Lactococcus lactis subsp. cremoris (strain MG1363)" "llmg_0856" "4" "1"
"143" "A2RKA5" "3.A.1.2.17" "Purine/cytidine ABC transporter permease protein" "Lactococcus lactis subsp. cremoris (strain MG1363)" "nupC" "4" "1"
"144" "A2RKA6" "3.A.1.2.17" "Purine/cytidine ABC transporter permease protein" "Lactococcus lactis subsp. cremoris (strain MG1363)" "nupB" "4" "1"
"145" "A2RKA7" "3.A.1.2.17" "Purine/cytidine ABC transporter ATP-binding protein" "Lactococcus lactis subsp. cremoris (strain MG1363)" "nupA" "4" "1"
"146" "A2RKV5" "2.A.88.5.2" "Niacin transporter NiaX" "Lactococcus lactis subsp. cremoris (strain MG1363)" "niaX" "1" "1"
"147" "A2RM05" "2.A.88.9.1" "Queuosine precursor transporter QueT" "Lactococcus lactis subsp. cremoris (strain MG1363)" "queT" "1" "1"
"148" "A2RMJ9" "3.A.1.25.4" "Biotin transporter BioY" "Lactococcus lactis subsp. cremoris (strain MG1363)" "bioY" "1" "1"
"149" "A2RMW4" "1.E.26.4.1" "Bacteriophage holin" "Lactococcus lactis subsp. cremoris (strain MG1363)" "ps460" "4" "1"
"150" "A2RTF1" "1.A.1.19.3" "1.A.1.19.3 Cation channel sperm-associated protein subunit beta" "" "" "" ""
"151" "A2SGV2" "9.B.59.1.3" "Uncharacterized protein" "Methylibium petroleiphilum (strain PM1)" "Mpe_A1833" "4" "1"
"152" "A2SPE8" "3.A.1.26.2" "ABC transporter related - Methanocorpusculum labreanum (strain ATCC 43576 / DSM 4855 / Z)." "" "" "" ""
"153" "A2SPE9" "3.A.1.26.2" "Cobalt transport protein" "Methanocorpusculum labreanum (strain ATCC 43576 / DSM 4855 / Z)" "Mlab_0027" "4" "1"
"154" "A2SPQ3" "3.A.1.25.3" "BioY protein" "Methanocorpusculum labreanum (strain ATCC 43576 / DSM 4855 / Z)" "Mlab_0132" "4" "1"
"155" "A2SPQ4" "3.A.1.25.3" "ABC transporter related protein" "Methanocorpusculum labreanum (strain ATCC 43576 / DSM 4855 / Z)" "Mlab_0133" "4" "1"
"156" "A2SPQ5" "3.A.1.25.3" "ABC transporter related protein" "Methanocorpusculum labreanum (strain ATCC 43576 / DSM 4855 / Z)" "Mlab_0134" "4" "1"
"157" "A2SPQ6" "3.A.1.25.3" "Putative uncharacterized protein" "Methanocorpusculum labreanum (strain ATCC 43576 / DSM 4855 / Z)" "Mlab_0135" "4" "1"
"158" "A2SPV4" "9.B.29.2.11" "Uncharacterized protein" "Methanocorpusculum labreanum (strain ATCC 43576 / DSM 4855 / Z)" "Mlab_0184" "4" "1"
"159" "A2SSB1" "2.A.115.2.10" "Putative uncharacterized protein" "Methanocorpusculum labreanum (strain ATCC 43576 / DSM 4855 / Z)" "Mlab_1048" "4" "1"
"160" "A2SSY9" "4.D.2.1.2" "Putative uncharacterized protein" "Methanocorpusculum labreanum (strain ATCC 43576 / DSM 4855 / Z)" "Mlab_1276" "4" "1"
"161" "A2SWM2" "2.A.1.49.4" "Protein spinster homolog 2" "Danio rerio" "spns2" "1" "2"
"162" "A2VCJ6" "1.A.14.3.3" "Golgi anti-apoptotic protein" "Vaccinia virus" "E6" "4" "1"
"163" "A2VCW5" "2.A.18.6.8" "2.A.18.6.8 Sodium-coupled neutral amino acid transporter 5" "" "" "" ""
"164" "A3BI11" "2.A.5.1.5" "Zinc transporter 8" "Oryza sativa subsp. japonica" "ZIP8" "2" "1"
"165" "A3CLT2" "1.A.35.3.4" "Cation transporter CorA family, putative" "Streptococcus sanguinis (strain SK36)" "SSA_0701" "4" "1"
"166" "A3CS32" "1.E.43.2.5" "Uncharacterized protein" "Methanoculleus marisnigri (strain ATCC 35101 / DSM 1498 / JR1)" "Memar_0248" "4" "1"
"167" "A3CWV0" "1.A.54.2.2" "Uncharacterized protein" "Methanoculleus marisnigri (strain ATCC 35101 / DSM 1498 / JR1)" "Memar_1924" "1" "1"
"168" "A3CXC7" "2.A.49.8.1" "Chloride channel protein EriC-like protein" "Methanoculleus marisnigri (strain ATCC 35101 / DSM 1498 / JR1)" "Memar_2102" "4" "1"
"169" "A3DDT1" "9.B.142.9.3" "Glycosyl transferase family protein" "Clostridium thermocellum (strain ATCC 27405 / DSM 1237)" "Cthe_0876" "4" "1"
"170" "A3DGJ1" "5.A.1.6.1" "Heavy metal transport/detoxification protein" "Clostridium thermocellum (strain ATCC 27405 / DSM 1237)" "Cthe_1849" "4" "1"
"171" "A3EYY6" "1.A.1.5.9" "Tetrameric potassium-selective cyclic nucleotide gated channel" "Strongylocentrotus purpuratus" "" "2" "1"
"172" "A3FFK5" "2.A.38.3.4" "Potassium/sodium transporter HKT2;2" "Oryza sativa subsp. indica" "HKT2;2" "2" "1"
"173" "A3I049" "1.A.10.2.2" "Ionotropic glutamate receptor" "Algoriphagus sp. PR1" "ALPR1_14489" "4" "1"
"174" "A3IFY8" "9.B.29.2.1" "Uncharacterized protein" "Bacillus sp. B14905" "BB14905_00540" "4" "1"
"175" "A3KE12" "1.A.23.6.1" "Mechanosensitive channel 1" "Chlamydomonas reinhardtii" "MSC1" "2" "1"
"176" "A3KPJ8" "2.A.36.1.6" "Novel protein similar to vertebrate solute carrier family 9 - Danio rerio (Zebrafish) (Brachydanio rerio)." "" "" "" ""
"177" "A3M0N3" "2.A.1.1.68" "Glucose transporter/sensor" "Pichia stipitis" "RGT2" "4" "1"
"178" "A3M347" "2.A.1.3.62" "Putative MFS family drug transporter" "Acinetobacter baumannii (strain ATCC 17978 / NCDC KC 755)" "A1S_0909" "4" "2"
"179" "A3M582" "2.A.1.3.63" "Putative RND family drug transporter" "Acinetobacter baumannii (strain ATCC 17978 / NCDC KC 755)" "A1S_1649" "4" "2"
"180" "A3M6E0" "2.A.1.3.44" "Methyl viologen resistance protein (MFS superfamily)" "Acinetobacter baumannii (strain ATCC 17978 / NCDC KC 755)" "A1S_2057" "4" "2"
"181" "A3M6E6" "2.A.117.1.1" "Putative membrane protein" "Acinetobacter baumannii (strain ATCC 17978 / NCDC KC 755)" "A1S_2063" "4" "2"
"182" "A3M7T5" "2.A.66.1.30" "Putative multidrug resistance pump" "Acinetobacter baumannii (strain ATCC 17978 / NCDC KC 755)" "A1S_2562" "4" "2"
"183" "A3M9E9" "2.A.1.2.51" "Multidrug efflux transport protein" "Acinetobacter baumannii (strain ATCC 17978 / NCDC KC 755)" "A1S_3146" "4" "2"
"184" "A3MA65" "2.A.66.1.31" "MATE family drug transporter" "Acinetobacter baumannii (strain ATCC 17978 / NCDC KC 755)" "A1S_3420" "4" "2"
"185" "A3MW00" "3.A.1.6.6" "ABC transporter related" "Pyrobaculum calidifontis (strain JCM 11548 / VA1)" "Pcal_1397" "3" "1"
"186" "A3MW01" "3.A.1.6.6" "Tungstate/molybdate transport system permease protein" "Pyrobaculum calidifontis (strain JCM 11548 / VA1)" "Pcal_1398" "3" "1"
"187" "A3MW02" "3.A.1.6.6" "Putative uncharacterized protein" "Pyrobaculum calidifontis (strain JCM 11548 / VA1)" "Pcal_1399" "3" "1"
